0.117647059,0.005319149,0.076923077,0,0,0.570680628,0,0,C3
0.117647059,0.015957447,0,0,0.015503876,0.001745201,0,0.117647059,C1
0,0.053191489,0,0,0.007751938,0.036649215,0,0.058823529,C1
0.117647059,0.005319149,0,0,0,0.006980803,0,0,C1
0,0.005319149,0,0,0.007751938,0.008726003,0,0.470588235,C3
0,0.026595745,0,0,0,0.034904014,0.15,0,C1
0,0.005319149,0,0,0,0.006980803,0.05,0,C1
0.058823529,0.037234043,0.230769231,0,0.007751938,0.019197208,0,0,C0
0.058823529,0.063829787,0.230769231,0,0.023255814,0.005235602,0,0.647058824,C3
0.117647059,0.021276596,0,0,0,0.006980803,0,0.117647059,C1
0,0,0,0,0,0.02617801,0,0,C1
0,0,0,0,0.007751938,0.017452007,0,0,C1
0.235294118,0.457446809,0.230769231,0,0.131782946,0.151832461,0.1,0.411764706,C2
0.588235294,0.015957447,0.230769231,0,0.031007752,0.010471204,0.1,0.352941176,C3
0,0.010638298,0.076923077,0,0.023255814,0.02443281,0,0,C1
0.235294118,0.063829787,0,0,0.015503876,0.022687609,0,0,C0
0,0.127659574,0.692307692,0,0.023255814,0.041884817,0.05,0,C0
0.058823529,0.079787234,0,0.125,0.031007752,0.040139616,0,0.117647059,C1
0,0.04787234,0,0,0.031007752,0.017452007,0,0.058823529,C1
0,0.090425532,0.230769231,0.125,0.046511628,0.02443281,0.05,0,C0
0,0.053191489,0,0,0.015503876,0.008726003,0.2,0,C1
0.176470588,0.053191489,0.076923077,0,0,0.137870855,0,0,C0
0.294117647,0.053191489,0.076923077,0,0.069767442,0.113438045,0.1,0.058823529,C0
0,0.005319149,0.230769231,0.125,0.031007752,0.013961606,0.05,0.117647059,C0
0.058823529,0.037234043,0,0,0,0.020942408,0,0,C1
0,0.037234043,0,0,0,0.07504363,0,0,C1
0.058823529,0.053191489,0,0,0,0,0,0.117647059,C1
0.058823529,0.143617021,0.615384615,0,0.11627907,0.080279232,0.3,0.117647059,C2
0.058823529,0.010638298,0.076923077,0,0,0,0,0.058823529,C1
0,0.005319149,0,0,0.07751938,0.129144852,0,0.117647059,C1
0,0.031914894,0,0,0.023255814,0.008726003,0,0.058823529,C1
0.235294118,0.079787234,0,0,0.023255814,0.160558464,0.05,0,C0
0.058823529,0.031914894,0.153846154,0,0.015503876,0.643979058,0.05,0.588235294,C3
0,0.015957447,0.153846154,0,0,0.012216405,0.05,0.058823529,C1
0,0,0,0,0.03875969,0.071553229,0,0,C1
0,0.010638298,0.076923077,0,0.015503876,0.012216405,0,0,C1
0.235294118,0.053191489,0,0,0.007751938,0.083769634,0,0.058823529,C0
0.294117647,0.042553191,0,0,0.007751938,0.113438045,0.25,0,C0
0.117647059,0.005319149,0,0,0.031007752,0.040139616,0,0.117647059,C1
0.117647059,0.015957447,0.076923077,0,0.015503876,0.019197208,0,0,C1
0.235294118,0.031914894,0,0,0,0.005235602,0.05,0,C0
0,0.042553191,0,0,0.007751938,0.071553229,0,0.058823529,C1
0,0,0,0,0,0.001745201,0,0,C1
0.235294118,0.015957447,0,0,0.031007752,0.034904014,0.05,0,C0
0.117647059,0,0,0,0.007751938,0.010471204,0,0.058823529,C1
0.235294118,0.143617021,0.615384615,0,0,0.034904014,0,0.235294118,C2
0,0.005319149,0.076923077,0,0.007751938,0.005235602,0.05,0.117647059,C1
0.235294118,0,0,0,0.023255814,0.029668412,0,0.117647059,C0
0.058823529,0.015957447,0,0,0.007751938,0.019197208,0.05,0.117647059,C1
0,0,0,0,0,0.003490401,0,0,C1
0.117647059,0.031914894,0,0.125,0.03875969,0.017452007,0,0,C1
0,0.005319149,0,0,0,0.008726003,0,0,C1
0.117647059,0.026595745,0.076923077,0,0.007751938,0.006980803,0.05,0.176470588,C1
0.058823529,0.079787234,0.153846154,0.125,0.023255814,0.061082024,0,0.058823529,C0
0.117647059,0.015957447,0.076923077,0,0.007751938,0.027923211,0.1,0,C1
0,0.021276596,0.076923077,0,0.007751938,0.015706806,0,0.117647059,C1
0,0.010638298,0,0,0,0.013961606,0.05,0.058823529,C1
0.176470588,0.10106383,0.230769231,0,0.124031008,0.043630017,0.1,0.058823529,C0
0.588235294,0.212765957,0.307692308,0,0.217054264,0.303664921,0.1,0,C2
0,0.031914894,0,0,0.023255814,0.064572426,0,0,C1
0.352941176,0.042553191,0.230769231,0.25,0.054263566,0.073298429,0,0.058823529,C0
0,0.04787234,0,0,0.023255814,0.116928447,0.15,0.117647059,C1
0,0.005319149,0.153846154,0,0.007751938,0.055846422,0.05,0,C1
0,0.340425532,0,0,0.015503876,0.027923211,0,0,C1
0.058823529,0.063829787,0.153846154,0,0.023255814,0.017452007,0,0,C1
0.117647059,0.031914894,0.076923077,0,0,0.010471204,0.05,0.352941176,C3
0,0.005319149,0,0,0,0.001745201,0,0,C1
1,0.069148936,0,0,0.023255814,0.02617801,0.15,0.058823529,C0
0.058823529,0.069148936,0,0,0.031007752,0.113438045,0.1,0.058823529,C1
0.176470588,0.053191489,0,0,0.007751938,0.047120419,0.05,0.058823529,C1
