PJ File 	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	deceptive trust development	family	friendship	romantic	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	
trying _2b_normal.txt	0	0	0	0	0	0	0	0	2	0	0	0	2	6	0	1	0	0	0	0	
tucsftcoach.txt	0	0	0	0	6	80	3	34	0	0	0	0	0	30	31	1	6	80	3	34	
tunnels12000.txt	0	0	0	0	15	145	7	30	5	0	0	0	5	22	42	1	15	145	7	30	
usnavyrules2005.txt	0	0	0	0	2	27	12	4	0	0	0	0	0	13	12	1	2	27	12	4	
usta_tennis.txt	0	0	0	0	15	118	19	38	0	0	0	0	0	41	27	3	15	118	19	38	
vamale _692005.txt	0	0	0	0	21	233	25	44	5	0	0	0	5	39	9	2	21	233	25	44	
va_breitling.txt	0	0	0	0	2	23	3	6	1	0	0	0	1	11	2	0	2	23	3	6	
vipper _131.txt	0	0	0	0	3	58	1	9	3	0	0	0	3	13	8	2	3	58	1	9	
warreng68.txt	0	0	0	0	1	10	1	15	1	0	0	0	1	4	3	0	1	10	1	15	
WBSooner.txt	0	0	0	0	8	39	13	10	0	0	0	0	0	16	5	0	8	39	13	10	
WebDev2.txt	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	5	
welfare_isforwhitefolks.txt	0	0	0	0	3	8	1	18	0	0	0	0	0	11	5	0	3	8	1	18	
wellhungnwky.txt	0	0	0	0	3	51	5	1	3	0	0	0	3	1	336	0	3	51	5	1	
wesleybrannen82.txt	0	0	0	0	5	317	8	18	2	0	0	0	2	17	1	2	5	317	8	18	
westwoodkush.txt	0	0	0	0	0	20	9	2	0	0	0	0	0	12	2	4	0	20	9	2	
whittierlacumandbig.txt	0	0	0	0	0	141	6	14	3	0	0	0	3	4	1	0	0	141	6	14	
whittierwannado.txt	0	0	0	0	1	16	2	14	1	0	0	0	1	0	1	0	1	16	2	14	
wi11s_atm.txt	0	0	0	0	1	11	25	34	0	0	0	0	0	21	13	1	1	11	25	34	
wocket2003.txt	0	0	0	0	3	19	3	6	0	0	0	0	0	6	3	1	3	19	3	6	
WrghtrAlcm.txt	0	0	0	0	6	42	9	38	4	0	0	0	4	26	10	2	6	42	9	38	
Wulfker_Dragonslayer.txt	0	0	0	0	35	342	68	43	1	0	0	0	1	97	61	16	35	342	68	43	
x_cums_in_the_night_x.txt	0	0	0	0	2	484	8	20	0	0	0	0	0	27	10	0	2	484	8	20	
yankees_9ers_dad.txt	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	
your_lil_nene.txt	0	0	0	0	4	98	7	61	0	0	0	0	0	23	80	1	4	98	7	61	
zavior01.txt	0	0	0	0	3	24	7	25	5	0	0	0	5	13	5	0	3	24	7	25	
