PJ File 	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	deceptive trust development	family	friendship	romantic	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	
dave40962.txt	0	0	0	0	10	121	2	19	6	0	0	0	6	29	50	3	10	121	2	19	
daveeatsyou.txt	0	0	0	0	7	114	10	32	0	0	0	0	0	11	5	0	7	114	10	32	
DavieWants2.txt	0	0	0	0	2	50	4	8	0	0	0	0	0	1	7	0	2	50	4	8	
daydreamez69.txt	0	0	0	0	4	95	57	83	0	0	0	0	0	73	66	0	4	95	57	83	
daytona02.txt	0	0	0	0	9	26	25	71	1	0	0	0	1	19	27	6	9	26	25	71	
dble_d1.txt	0	0	0	0	1	18	13	19	2	0	0	0	2	18	12	3	1	18	13	19	
dckroll.txt	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	5	0	0	
deaf1 _one.txt	0	0	0	0	4	53	15	18	17	0	0	0	17	32	22	0	4	53	15	18	
desiredalex.txt	0	0	0	0	5	114	24	42	1	0	0	0	1	26	61	0	5	114	24	42	
Devilzombie13.txt	0	0	0	0	2	58	19	23	3	0	0	0	3	21	34	6	2	58	19	23	
dick_hungwell64.txt	0	0	0	0	5	498	10	26	3	0	0	0	3	13	466	0	5	498	10	26	
docman_818.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
dogshowsifudo.txt	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	3	0	0	
DonCeech.txt	0	0	0	0	3	34	3	20	2	0	0	0	2	16	17	4	3	34	3	20	
donni1957 _male.txt	0	0	0	0	2	10	2	6	0	0	0	0	0	1	4	0	2	10	2	6	
dragon _2973.txt	0	0	0	0	4	29	7	4	1	0	0	0	1	12	5	0	4	29	7	4	
drmz _1980.txt	0	0	0	0	0	85	14	15	0	0	0	0	0	15	0	2	0	85	14	15	
Dsswinney.txt	0	0	0	0	1	4	1	7	0	0	0	0	0	14	5	0	1	4	1	7	
dtwnsd.txt	0	0	0	0	20	62	18	21	1	0	0	0	1	44	6	0	20	62	18	21	
dveightus.txt	0	0	0	0	14	158	11	23	0	0	0	0	0	53	36	3	14	158	11	23	
elchiva8395020.txt	0	0	0	0	5	79	11	15	2	0	0	0	2	37	37	2	5	79	11	15	
eveready122.txt	0	0	0	0	31	112	20	56	5	0	0	0	5	23	436	1	31	112	20	56	
fargo1982.txt	0	0	0	0	11	26	10	8	0	0	0	0	0	3	32	0	11	26	10	8	
farzadboy2003.txt	0	0	0	0	0	25	5	42	6	0	0	0	6	7	2	4	0	25	5	42	
fightingfalconsguy.txt	0	0	0	0	3	17	5	24	1	0	0	0	1	5	16	0	3	17	5	24	
fishman1192002.txt	0	0	0	0	0	3	1	1	0	0	0	0	0	3	0	0	0	3	1	1	
flamningdonkeybutt.txt	0	0	0	0	7	22	4	14	0	0	0	0	0	5	16	3	7	22	4	14	
florida_in_miami.txt	0	0	0	0	4	91	12	79	0	0	0	0	0	16	8	1	4	91	12	79	
flxnonya.txt	0	0	0	0	1	16	1	4	0	0	0	0	0	2	0	0	1	16	1	4	
fotophix.txt	0	0	0	0	0	3	2	5	0	0	0	0	0	3	0	0	0	3	2	5	
fuddster88.txt	0	0	0	0	19	100	3	35	0	0	0	0	0	67	5	7	19	100	3	35	
funjxn1.txt	0	0	0	0	18	224	20	14	0	0	0	0	0	30	92	1	18	224	20	14	
g8rman21.txt	0	0	0	0	1	11	5	26	0	0	0	0	0	23	2	1	1	11	5	26	
ginty77.txt	0	0	0	0	0	13	2	21	0	0	0	0	0	9	7	0	0	13	2	21	
gmoney301981.txt	0	0	0	0	3	13	14	14	5	0	0	0	5	1	4	1	3	13	14	14	
godofwineof3eb.txt	0	0	0	0	2	19	7	19	3	0	0	0	3	17	4	0	2	19	7	19	
golfboi59.txt	0	0	0	0	3	41	12	35	0	0	0	0	0	29	8	0	3	41	12	35	
Good  Boy B88.txt	0	0	0	0	88	236	20	29	2	0	0	0	2	33	161	3	88	236	20	29	
goodbody1330.txt	0	0	0	0	5	186	9	15	3	0	0	0	3	14	17	1	5	186	9	15	
goodguy1958.txt	0	0	0	0	4	21	9	26	0	0	0	0	0	4	1	0	4	21	9	26	
goodguyportsmouthva.txt	0	0	0	0	2	13	8	16	4	0	0	0	4	12	1	1	2	13	8	16	
grassman334.txt	0	0	0	0	7	150	22	33	1	0	0	0	1	27	55	0	7	150	22	33	
