PJ File ,activities,personal information,compliment,relationship,reframing,communicative desensitization,isolation,approach
abraxisreborn.txt,0.117647059,0.005319149,0.076923077,0,0,0.570680628,0,0
Adamou217.txt,0.117647059,0.015957447,0,0,0.015503876,0.001745201,0,0.117647059
aladiesmasseur.txt,0,0.053191489,0,0,0.007751938,0.036649215,0,0.058823529
alonzo403.txt,0.117647059,0.005319149,0,0,0,0.006980803,0,0
Antitrust40242.txt,0,0.005319149,0,0,0.007751938,0.008726003,0,0.470588235
arb1210.txt,0,0.026595745,0,0,0,0.034904014,0.15,0
ArmySgt1961.txt,0,0.005319149,0,0,0,0.006980803,0.05,0
army_dude1982.txt,0.058823529,0.037234043,0.230769231,0,0.007751938,0.019197208,0,0
artc68.txt,0.058823529,0.063829787,0.230769231,0,0.023255814,0.005235602,0,0.647058824
asian_kreationz.txt,0.117647059,0.021276596,0,0,0,0.006980803,0,0.117647059
Assfider.txt,0,0,0,0,0,0.02617801,0,0
aticloose.txt,0,0,0,0,0.007751938,0.017452007,0,0
audavideo.txt,0.235294118,0.457446809,0.230769231,0,0.131782946,0.151832461,0.1,0.411764706
augustadude2004.txt,0.588235294,0.015957447,0.230769231,0,0.031007752,0.010471204,0.1,0.352941176
b080387.txt,0,0.010638298,0.076923077,0,0.023255814,0.02443281,0,0
b318ti.txt,0.235294118,0.063829787,0,0,0.015503876,0.022687609,0,0
baddboyysweetheart.txt,0,0.127659574,0.692307692,0,0.023255814,0.041884817,0.05,0
bald_beaver_hunter42025.txt,0.058823529,0.079787234,0,0.125,0.031007752,0.040139616,0,0.117647059
balin79.txt,0,0.04787234,0,0,0.031007752,0.017452007,0,0.058823529
banditcapt71.txt,0,0.090425532,0.230769231,0.125,0.046511628,0.02443281,0.05,0
bearinwolfsfur.txt,0,0.053191489,0,0,0.015503876,0.008726003,0.2,0
bendix632.txt,0.176470588,0.053191489,0.076923077,0,0,0.137870855,0,0
ben_taul2000.txt,0.294117647,0.053191489,0.076923077,0,0.069767442,0.113438045,0.1,0.058823529
blaggca.txt,0,0.005319149,0.230769231,0.125,0.031007752,0.013961606,0.05,0.117647059
Blandmtthw.txt,0.058823529,0.037234043,0,0,0,0.020942408,0,0
blindsey _01.txt,0,0.037234043,0,0,0,0.07504363,0,0
bluegrizzly32.txt,0.058823529,0.053191489,0,0,0,0,0,0.117647059
bob10282001.txt,0.058823529,0.143617021,0.615384615,0,0.11627907,0.080279232,0.3,0.117647059
boosted_hollyjack.txt,0.058823529,0.010638298,0.076923077,0,0,0,0,0.058823529
boxbody00.txt,0,0.005319149,0,0,0.07751938,0.129144852,0,0.117647059
Bpm0207.txt,0,0.031914894,0,0,0.023255814,0.008726003,0,0.058823529
bpvmo.txt,0.235294118,0.079787234,0,0,0.023255814,0.160558464,0.05,0
bravesfan34581.txt,0.058823529,0.031914894,0.153846154,0,0.015503876,0.643979058,0.05,0.588235294
brian_e024.txt,0,0.015957447,0.153846154,0,0,0.012216405,0.05,0.058823529
briman31282.txt,0,0,0,0,0.03875969,0.071553229,0,0
broken_empires.txt,0,0.010638298,0.076923077,0,0.015503876,0.012216405,0,0
bud44800.txt,0.235294118,0.053191489,0,0,0.007751938,0.083769634,0,0.058823529
bud448002.txt,0.294117647,0.042553191,0,0,0.007751938,0.113438045,0.25,0
buick19722001.txt,0.117647059,0.005319149,0,0,0.031007752,0.040139616,0,0.117647059
burtoncanyon1732002.txt,0.117647059,0.015957447,0.076923077,0,0.015503876,0.019197208,0,0
cal_xicano130.txt,0.235294118,0.031914894,0,0,0,0.005235602,0.05,0
